"Time","Message","Severity"
"01/12/2019 03:00","CSV Imported Successfully: ","Information"
"01/12/2019 03:00","Group variable created with group: CN=Domain Admins,CN=Users,DC=servest,DC=co,DC=uk","Information"
"01/12/2019 03:00","No Unexpected Users Found","Information"
"01/12/2019 03:00","CSV Imported Successfully: ","Information"
"01/12/2019 03:00","Group variable created with group: CN=Enterprise Admins,CN=Users,DC=servest,DC=co,DC=uk","Information"
"01/12/2019 03:00","No Unexpected Users Found","Information"
"01/12/2019 03:00","CSV Imported Successfully: ","Information"
"01/12/2019 03:00","Group variable created with group: CN=IT_Admins,OU=Groups,DC=servest,DC=co,DC=uk","Information"
"01/12/2019 03:00","No Unexpected Users Found","Information"
